outcome,delta,theta_true,method,R,decision,rmse,bias
continuous,-0.6,0.0,standard_uip,1000,0.984,0.46467651849929054,0.44993168004485223
continuous,-0.6,0.4,ps_power_prior,1000,1.0,0.35008842009641217,0.3304076944947691
continuous,-0.6,0.4,ps_uip_c,1000,0.872,0.1458218296423739,0.006501991734561738
continuous,-0.6,0.4,standard_uip,1000,1.0,0.46692195037587686,0.4528901917139166
continuous,-0.4,0.0,ps_power_prior,1000,0.537,0.24319178442790404,0.21374933898942905
continuous,-0.4,0.0,ps_uip_c,1000,0.064,0.14628260162201084,-0.0017267959850110878
continuous,-0.4,0.0,standard_uip,1000,0.809,0.3166572171036083,0.2956452782038809
continuous,-0.4,0.4,ps_power_prior,1000,1.0,0.24006640089300932,0.2090696835670024
continuous,-0.4,0.4,ps_uip_c,1000,0.867,0.14775277348743407,-0.0011990842778483966
continuous,-0.4,0.4,standard_uip,1000,1.0,0.3124679974843022,0.29053310250530745
continuous,-0.2,0.0,ps_power_prior,1000,0.194,0.15530967235465756,0.09895582961943251
continuous,-0.2,0.0,ps_uip_c,1000,0.094,0.1490299136854032,0.015860935701701058
continuous,-0.2,0.0,standard_uip,1000,0.341,0.18248299577156685,0.13872652522643153
continuous,-0.2,0.4,ps_power_prior,1000,0.991,0.15525879574500123,0.10599741410862978
continuous,-0.2,0.4,ps_uip_c,1000,0.894,0.15126484486518813,0.022908070570123718
continuous,-0.2,0.4,standard_uip,1000,1.0,0.18291656101076473,0.14638476852944254
continuous,0.0,0.0,ps_power_prior,1000,0.054,0.1192584758987044,0.0041879100830386545
continuous,0.0,0.0,ps_uip_c,1000,0.068,0.13556667867579886,0.00402456967993766
continuous,0.0,0.0,standard_uip,1000,0.056,0.11656519809478569,0.004326935759912418
continuous,0.0,0.4,ps_power_prior,1000,0.96,0.11691401489065942,0.008960066364428929
continuous,0.0,0.4,ps_uip_c,1000,0.941,0.13228804176361753,0.012513363840864721
continuous,0.0,0.4,standard_uip,1000,0.971,0.11450803545756366,0.007799395296713585
continuous,0.2,0.0,ps_power_prior,1000,0.005,0.15894667175903393,-0.10182699732926048
continuous,0.2,0.0,ps_uip_c,1000,0.045,0.15085630653751106,-0.01897006608754477
continuous,0.2,0.0,standard_uip,1000,0.005,0.18730059636899066,-0.14271019988788133
continuous,0.2,0.4,ps_power_prior,1000,0.77,0.16026704942178294,-0.1070292534561044
continuous,0.2,0.4,ps_uip_c,1000,0.883,0.1505746644219853,-0.026489833204995077
continuous,0.2,0.4,standard_uip,1000,0.7,0.18824325314409418,-0.14637806730044167
continuous,0.4,0.0,ps_power_prior,1000,0.002,0.24457507051833585,-0.2138980038075124
continuous,0.4,0.0,ps_uip_c,1000,0.044,0.14334131197549735,-0.001240904711907989
continuous,0.4,0.0,standard_uip,1000,0.0,0.31812222850657557,-0.2953423987920324
continuous,0.4,0.4,ps_power_prior,1000,0.44,0.24170631749053867,-0.21298928391247973
continuous,0.4,0.4,ps_uip_c,1000,0.869,0.14582189235262216,-0.001402864044206323
continuous,0.4,0.4,standard_uip,1000,0.219,0.31471018697325487,-0.29418110197042346
continuous,0.6,0.0,ps_power_prior,1000,0.0,0.34546295858685,-0.3247053982148003
continuous,0.6,0.0,ps_uip_c,1000,0.039,0.14139179717750358,0.0016028684748579925
continuous,0.6,0.0,standard_uip,1000,0.0,0.4603296747729532,-0.4454119277709548
continuous,0.6,0.4,ps_power_prior,1000,0.103,0.3460175219165946,-0.32686243019012534
continuous,0.6,0.4,ps_uip_c,1000,0.879,0.1377458178278867,-0.00041474427764456975
continuous,0.6,0.4,standard_uip,1000,0.012,0.4633200475659911,-0.44968972402501806
continuous,0.8,0.0,ps_power_prior,1000,0.0,0.46346856443929796,-0.4473638612040337
continuous,0.8,0.0,ps_uip_c,1000,0.046,0.14151553388254262,3.974895271617806e-05
continuous,0.8,0.0,standard_uip,1000,0.0,0.6263722078618611,-0.614980291660569
continuous,0.8,0.4,ps_power_prior,1000,0.015,0.46091638859747097,-0.44490309810537376
continuous,0.8,0.4,ps_uip_c,1000,0.867,0.14263339903396857,-4.727480665938089e-05
continuous,0.8,0.4,standard_uip,1000,0.0,0.6220899176330427,-0.6108316604121831
